user_id,datetime,time_of_day,wpm,rawWpm,acc,consistency,restartCount,testDuration,afkDuration,incompleteTestSeconds,correct_characters,incorrect_characters,extra_characters,missed_characters
2,2024-08-21 15:23:59.000,afternoon,113.18,115.98,96.96,71.37,0,30.0,0,0.0,283,2,1,0
2,2024-05-08 18:17:32.000,evening,64.4,64.4,94.25,62.4,0,30.0,0,0.0,161,0,0,0
2,2024-05-08 18:16:57.000,evening,58.8,58.8,89.76,50.12,1,30.0,0,1.31,147,0,0,0
2,2024-05-08 18:16:24.000,evening,58.37,58.37,92.5,56.38,0,30.02,0,0.0,146,0,0,0
2,2024-05-08 18:15:51.000,evening,53.2,55.6,90.2,58.48,0,30.0,0,0.0,133,1,0,0
2,2024-05-08 18:15:19.000,evening,70.37,70.37,91.67,60.78,11,30.01,0,27.28,176,0,0,0
2,2024-05-08 18:13:57.000,evening,105.6,111.2,94.08,70.6,9,30.0,0,19.18,264,5,0,1
2,2024-05-08 18:12:29.000,evening,99.59,105.59,93.82,72.97,10,30.0,0,43.04,249,3,1,0
2,2024-05-08 18:10:17.000,evening,25.6,25.6,100.0,0.28,3,30.0,15,12.1,64,0,0,0
2,2024-05-08 18:09:02.000,evening,115.58,117.58,98.32,81.68,2,30.0,0,4.24,289,2,0,0
2,2024-05-08 18:08:25.000,evening,90.39,90.39,92.86,59.41,0,30.0,0,0.0,226,0,0,0
2,2024-05-08 18:06:04.000,evening,101.59,101.59,96.58,65.2,2,30.0,0,2.81,254,0,0,0
2,2024-02-17 14:43:29.000,afternoon,106.39,106.39,98.89,77.23,0,30.0,0,0.0,266,0,0,0
2,2024-02-17 14:42:57.000,afternoon,114.78,119.98,96.68,84.46,4,30.0,0,11.94,287,7,0,1
2,2024-02-17 14:39:02.000,afternoon,117.99,117.99,100.0,82.77,6,30.0,0,11.92,295,0,0,0
2,2024-02-17 14:38:15.000,afternoon,103.58,113.58,93.77,83.37,6,30.0,0,9.04,259,8,1,0
2,2024-02-17 14:36:20.000,afternoon,103.19,107.59,97.09,73.87,1,30.0,0,4.61,258,2,0,1
2,2024-02-17 14:35:41.000,afternoon,106.4,111.2,97.5,74.45,2,30.0,0,2.61,266,3,0,1
2,2024-02-17 11:51:36.000,morning,70.39,80.79,85.0,64.92,0,30.0,0,0.0,176,13,2,2
2,2024-02-17 11:50:54.000,morning,88.0,91.2,94.58,66.16,0,30.0,0,0.0,220,1,0,0
2,2024-02-17 10:24:57.000,morning,82.76,90.36,91.06,77.38,0,30.01,0,0.0,207,8,1,0
2,2024-02-17 10:24:23.000,morning,83.18,87.57,90.91,65.46,0,30.01,0,0.0,208,6,1,0
2,2024-02-17 10:21:20.000,morning,82.0,82.0,94.95,67.07,0,30.0,0,0.0,205,0,0,0
2,2024-02-17 05:21:51.000,morning,67.59,71.59,90.31,64.06,0,30.0,0,30.0,169,2,1,0
