_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6597ea08a65b7d25a1bbbc02,,67.59,93.19,72.39,66.69,169;2;0;0,time,30,-1,3,30,0,18.29,true,false,english_5k,,normal,false,false,false,,1704454664000
6597e9bda65b7d25a1bbb9b2,,101.6,98.08,101.6,69.57,254;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1704454589000
659434cda65b7d25a19b00e4,,117.97,99.33,117.97,84.49,295;0;0;0,time,30,-1,2,30.01,0,2.03,false,false,english,,normal,false,false,false,,1704211661000
659434a8a65b7d25a19aff22,,112.78,97.6,115.18,80.88,282;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1704211624000
6594346da65b7d25a19afc80,,104.35,96.03,107.55,75.35,261;2;0;0,time,30,-1,6,30.01,0,18.27,false,false,english,,normal,false,false,false,,1704211565000
65943429a65b7d25a19af95d,,68,95.51,68,64.94,340;0;0;0,time,60,-1,5,60,0,32.12,true,false,english_5k,,normal,false,false,false,,1704211497000
659433b6a65b7d25a19af42d,,71.79,96.51,71.79,68.45,359;0;0;0,time,60,-1,4,60.01,0,10.92,true,false,english_5k,,normal,false,false,false,,1704211382000
65943367a65b7d25a19af0a8,,70.98,97.82,70.98,65.96,355;0;0;0,time,60,-1,1,60.02,0,29.69,true,false,english_5k,,normal,false,false,false,,1704211303000
65943309a65b7d25a19aec06,,62.39,94.08,62.39,59.42,312;0;0;0,time,60,-1,3,60.01,0,13.67,true,false,english_5k,,normal,false,false,false,,1704211209000
659432b0a65b7d25a19ae7ed,,64.79,92.03,66.19,61.73,324;1;0;0,time,60,-1,2,60.01,0,2.9,true,false,english_5k,,normal,false,false,false,,1704211120000
6594326ba65b7d25a19ae4a0,,70.39,96.46,70.39,62.25,352;0;0;0,time,60,-1,2,60.01,0,10.47,true,false,english_5k,,normal,false,false,false,,1704211051000
65943210a65b7d25a19ae04d,,67.59,91.78,67.59,62.45,338;0;0;0,time,60,-1,5,60.01,0,25.62,true,false,english_5k,,normal,false,false,false,,1704210960000
659431aea65b7d25a19adb5e,,72.78,96.84,72.78,62.91,364;0;0;0,time,60,-1,2,60.02,0,6.58,true,false,english_5k,,normal,false,false,false,,1704210862000
65943164a65b7d25a19ad7c5,,69.4,92.35,69.4,68.54,347;0;0;0,time,60,-1,2,60,0,3.9,true,false,english_5k,,normal,false,false,false,,1704210788000
65943121a65b7d25a19ad451,,60.39,91.94,60.39,65.05,302;0;0;0,time,60,-1,1,60.01,0,1.13,true,false,english_5k,,normal,false,false,false,,1704210721000
659430e1a65b7d25a19ad171,,65.6,93.91,68,67.39,328;3;0;1,time,60,-1,2,60,0,5.65,true,false,english_5k,,normal,false,false,false,,1704210657000
65943096a65b7d25a19acdac,true,77.59,95.4,78.79,67.08,388;0;0;1,time,60,-1,0,60.01,0,0,true,false,english_5k,,normal,false,false,false,,1704210582000
65943043a65b7d25a19ac986,true,66.38,93.89,67.18,66.95,332;1;0;0,time,60,-1,0,60.02,0,0,true,false,english_5k,,normal,false,false,false,,1704210499000
658db172a65b7d25a16b4b08,,106.79,95.12,112.79,75.91,267;7;1;1,time,30,-1,6,30,0,27.19,false,false,english,,normal,false,false,false,,1703784818000
658db0bfa65b7d25a16b444f,,93.18,92.34,99.98,65.13,233;3;4;0,time,30,-1,1,30.01,0,1.67,false,false,english,,normal,false,false,false,,1703784639000
658d8683a65b7d25a1699939,,108.38,97.48,108.38,69.11,271;0;0;0,time,30,-1,3,30.01,0,8.58,false,false,english,,normal,false,false,false,,1703773827000
658d8653a65b7d25a169975a,,103.18,92.25,109.17,68.58,258;6;2;1,time,30,-1,5,30.01,0,19.34,false,false,english,,normal,false,false,false,,1703773779000
658d84eea65b7d25a169883e,,70.79,93.65,70.79,68.22,177;0;0;0,time,30,-1,0,30,0,0,true,false,english_5k,,normal,false,false,false,,1703773422000
658ad2a9a65b7d25a153aa1a,,71.99,94.88,82.79,62.73,180;2;0;2,time,30,-1,0,30,0,0,true,false,english_5k,,normal,false,false,false,,1703596713000
658abc7ca65b7d25a152e99c,,61.99,89.78,65.99,64.57,155;2;0;0,time,30,-1,0,30,0,0,true,false,english_5k,,normal,false,false,false,,1703591036000
658abc59a65b7d25a152e868,,61.59,89.83,63.19,59.13,154;1;0;0,time,30,-1,0,30.01,0,0,true,false,english_5k,,normal,false,false,false,,1703591001000
658abc31a65b7d25a152e724,,59.17,91.98,70.76,57.85,148;4;0;0,time,30,-1,0,30.02,0,0,true,false,english_5k,,normal,false,false,false,,1703590961000
658abbf8a65b7d25a152e539,true,65.79,94.96,71.79,60.92,329;2;0;1,time,60,-1,0,60.01,0,0,true,false,english_5k,,normal,false,false,false,,1703590904000
65891651a65b7d25a146ed7c,,104.38,88.24,128.37,78.46,261;22;3;2,time,30,-1,1,30.01,0,0.69,false,false,english,,normal,false,false,false,,1703482961000
658915a1a65b7d25a146e8ba,,121.59,98.41,125.58,88.24,304;2;1;0,time,30,-1,1,30,0,1.41,false,false,english,,normal,false,false,false,,1703482785000
6589157da65b7d25a146e7b6,,119.93,99.34,119.93,82.62,300;0;0;0,time,30,-1,12,30.02,0,45.33,false,false,english,,normal,false,false,false,,1703482749000
65891522a65b7d25a146e52e,,113.58,95.79,123.17,82.97,284;6;3;0,time,30,-1,5,30.01,0,22.24,false,false,english,,normal,false,false,false,,1703482658000
658914e7a65b7d25a146e382,,109.18,95.97,118.38,69.48,273;4;2;0,time,30,-1,1,30,0,2.24,false,false,english,,normal,false,false,false,,1703482599000
656086bc1c9917b51a680950,,104.4,88.85,120.8,80.64,261;21;3;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1700824764000
655e1cb50d82cb4950ceb090,,45.2,88.28,45.2,49.51,113;0;0;0,time,30,-1,1,30,1,1.47,false,false,english,,normal,false,false,false,,1700666549000
655c457e0d82cb4950b3af74,,111.19,95.36,117.99,71.91,278;4;0;2,time,30,-1,4,30,0,9.98,false,false,english,,normal,false,false,false,,1700545918000
655c45500d82cb4950b3ae2e,,116.39,93.29,128.78,82.03,291;10;2;1,time,30,-1,3,30,0,8.08,false,false,english,,normal,false,false,false,,1700545872000
655c451e0d82cb4950b3ac92,true,75.18,97.94,75.18,74.21,188;0;0;0,time,30,-1,1,30.01,0,0.05,false,false,malay,,normal,false,false,false,,1700545822000
655c44e10d82cb4950b3aad1,true,78.38,95.63,78.38,68.6,196;0;0;0,time,30,-1,4,30.01,0,14.66,false,false,english_commonly_misspelled,,normal,false,false,false,,1700545761000
655c44a90d82cb4950b3a930,,61.19,94.48,61.19,65.52,153;0;0;0,time,30,-1,0,30,0,0,true,false,english_450k,,normal,false,false,false,,1700545705000
655c447d0d82cb4950b3a7c1,,67.1,94.1,68,58.16,671;3;0;1,time,120,-1,1,120.01,0,3.43,true,false,english_5k,,normal,false,false,false,,1700545661000
655c43fc0d82cb4950afcae9,true,69.7,93.63,73,64.74,697;11;2;2,time,120,-1,0,120,0,0,true,false,english_5k,,normal,false,false,false,,1700545532000
655c43810d82cb4950abec26,,64,92.82,64.6,59.7,640;1;0;0,time,120,-1,3,120.01,0,32.94,true,false,english_5k,,normal,false,false,false,,1700545409000
655c42440d82cb4950abe267,true,67.1,92.44,67.9,61.6,671;1;0;0,time,120,-1,4,120.01,1,14.82,true,false,english_5k,,normal,false,false,false,,1700545092000
655c41b60d82cb4950abde3a,,65.17,91.63,77.96,66.38,163;5;0;1,time,30,-1,0,30.01,0,0,true,false,english_5k,,normal,false,false,false,,1700544950000
655c41960d82cb4950abdd68,,52.79,87.18,73.19,69.3,132;6;1;0,time,30,-1,8,30,0,33.07,true,false,english_5k,,normal,false,false,false,,1700544918000
655c41490d82cb4950abdb46,,81.18,94.86,81.18,64.78,203;0;0;0,time,30,-1,3,30.01,0,17.42,true,false,english_5k,,normal,false,false,false,,1700544841000
655c410a0d82cb4950abd9a1,true,89.58,97.39,89.58,73.63,224;0;0;0,time,30,-1,2,30.01,0,13.42,true,false,english_5k,,normal,false,false,false,,1700544778000
655c40d50d82cb4950abd817,,61.19,85.86,61.19,55.17,153;0;0;0,time,30,-1,0,30.01,0,0,true,false,english_5k,,normal,false,false,false,,1700544725000
655c40b20d82cb4950abd72c,,58.77,90.4,64.77,61.78,147;2;0;0,time,30,-1,0,30.01,0,0,true,false,english_5k,,normal,false,false,false,,1700544690000
655c40930d82cb4950abd610,,66.75,98.42,75.15,66.06,167;1;0;1,time,30,-1,1,30.02,0,5.5,true,false,english_5k,,normal,false,false,false,,1700544659000
655c406f0d82cb4950a7fc51,,63.18,91.57,63.18,56.75,158;0;0;0,time,30,-1,1,30.01,0,1.01,true,false,english_5k,,normal,false,false,false,,1700544622000
655c40490d82cb4950a42039,,69.16,93.81,71.96,74.21,173;0;0;1,time,30,-1,4,30.02,0,8.19,true,false,english_5k,,normal,false,false,false,,1700544585000
655c401e0d82cb4950a41edc,true,79.99,96.83,86.39,64.87,200;2;0;0,time,30,-1,1,30.01,0,3.12,true,false,english_5k,,normal,false,false,false,,1700544542000
655c3ffa0d82cb4950a41dc4,true,77.19,95.58,89.19,66.47,193;3;1;0,time,30,-1,1,30,0,0.87,true,false,english_5k,,normal,false,false,false,,1700544506000
655c3fd80d82cb4950a41caf,,73.58,95.05,87.98,70.48,184;5;0;1,time,30,-1,8,30.01,0,27.07,true,false,english_5k,,normal,false,false,false,,1700544472000
655c3f960d82cb4950a41a9d,,70.39,93.87,83.19,70.33,176;6;0;1,time,30,-1,2,30,0,10.39,true,false,english_5k,,normal,false,false,false,,1700544406000
655c3f620d82cb4950a418fd,true,91.16,95.83,91.16,72.24,114;0;0;0,time,15,-1,7,15.01,0,41.15,false,false,english_5k,,normal,false,false,false,,1700544354000
6556304a27c5c14c2c7a7d22,,110.58,88.24,137.55,77.3,41;4;0;1,words,10,-1,4,4.45,0,5.6,false,false,english,,normal,false,false,false,,1700147274000
6556303b27c5c14c2c7a7c32,,153.15,100,153.15,67.53,43;0;0;0,words,10,-1,1,3.37,0,2.08,false,false,english,,normal,false,false,false,,1700147259000
6556303427c5c14c2c7a7baa,,111.64,88.46,138.87,58.52,41;3;1;1,words,10,-1,0,4.41,0,0,false,false,english,,normal,false,false,false,,1700147252000
6556302e27c5c14c2c7a7b51,,149.89,100,149.89,91.38,57;0;0;0,words,10,-1,2,4.56,0,2.97,false,false,english,,normal,false,false,false,,1700147246000
6556302227c5c14c2c7a7a7c,,143.12,100,143.12,58.01,49;0;0;0,words,10,-1,19,4.11,0,29.47,false,false,english,,normal,false,false,false,,1700147234000
65562ff027c5c14c2c7a772e,,142.15,96.43,159.2,67.37,50;0;1;0,words,10,-1,3,4.22,0,4.33,false,false,english,,normal,false,false,false,,1700147184000
65562fe327c5c14c2c7a7661,,133.27,100,133.27,67.33,48;0;0;0,words,10,-1,0,4.32,0,0,false,false,english,,normal,false,false,false,,1700147171000
65562fdd27c5c14c2c7a75f8,,146.78,100,146.78,96.35,47;0;0;0,words,10,-1,2,3.84,0,6.93,false,false,english,,normal,false,false,false,,1700147165000
65562fcf27c5c14c2c7a751b,,117.95,100,117.95,73.79,55;0;0;0,words,10,-1,4,5.6,0,6.39,false,false,english,,normal,false,false,false,,1700147151000
65562fbe27c5c14c2c7a7426,,147.46,100,147.46,89.22,49;0;0;0,words,10,-1,1,3.99,0,0.04,false,false,english,,normal,false,false,false,,1700147134000
65562fb027c5c14c2c7a734b,true,165.89,100,165.89,76.4,47;0;0;0,words,10,-1,0,3.4,0,0,false,false,english,,normal,false,false,false,,1700147120000
65562faa27c5c14c2c7a7301,,154.84,100,154.84,91.18,47;0;0;0,words,10,-1,3,3.64,0,2.15,false,false,english,,normal,false,false,false,,1700147114000
65562f9c27c5c14c2c7a7226,,120.08,97.1,123.66,80.76,67;1;0;0,quote,5446,0,1,6.7,0,4.88,false,false,english,,normal,false,false,false,,1700147100000
65562f8b27c5c14c2c7a7114,,120.27,98.39,120.27,60.25,61;0;0;0,quote,5764,0,0,6.09,0,0,false,false,english,,normal,false,false,false,,1700147083000
65562f8327c5c14c2c7a7086,,93.08,95.35,104.25,81.56,75;1;0;0,quote,6971,0,3,9.67,0,10.55,false,false,english,,normal,false,false,false,,1700147075000
65562f6327c5c14c2c7a6e68,,109.34,91.92,119.17,79.08,89;3;1;1,quote,70,0,0,9.77,0,0,false,false,english,,normal,false,false,false,,1700147043000
65562f5527c5c14c2c7a6d87,,98.49,100,98.49,64.52,132;0;0;0,quote,5696,1,4,16.08,0,11.03,false,false,english,,normal,false,false,false,,1700147029000
65562f2c27c5c14c2c7a6b04,,86.3,93.5,96.07,66.3,274;2;2;2,quote,3183,2,0,38.1,0,0,false,false,english,,normal,false,false,false,,1700146988000
65562edc27c5c14c2c7a664b,,89.94,94.77,95.38,66.66,893;14;2;2,quote,5485,3,2,119.15,0,19.94,false,false,english,,normal,false,false,false,,1700146908000
65562e4127c5c14c2c72b3ba,,89.96,92.48,102.5,68.92,538;22;3;5,quote,2585,3,7,71.77,0,39.16,false,false,english,,normal,false,false,false,,1700146753000
65562d5027c5c14c2c72a52a,,118.38,96.46,124.38,78.94,296;7;1;2,time,30,-1,4,30,0,6.05,false,false,english,,normal,false,false,false,,1700146512000
65562d2427c5c14c2c72a28f,,109.18,92.86,120.38,78.52,273;9;2;0,time,30,-1,3,30.01,0,6.25,false,false,english,,normal,false,false,false,,1700146468000
65562cfc27c5c14c2c72a01a,,107.97,96.54,112.77,79.5,270;2;0;0,time,30,-1,2,30.01,0,7.78,false,false,english,,normal,false,false,false,,1700146428000
