_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
689d80a04cec7cefb63d1e88,,80.8,97.16,83.2,75.24,202;1;0;1,time,30,,0,30,0,0,false,false,english,,normal,false,false,false,,1755152543020
689d7aed4cec7cefb63cf5b9,,89.99,98.26,91.59,78.88,225;2;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1755151085000
689d7ac34cec7cefb63cf49f,true,104.78,100,104.78,85.24,131;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1755151043000
689d7a934cec7cefb63cf356,,75.6,96.63,82.79,75.6,189;3;0;1,time,30,-1,1,30,0,4.45,false,false,english,,normal,false,false,false,,1755150995000
689d7a264cec7cefb63cf063,,89.99,98.68,89.99,75.83,225;0;0;0,time,30,-1,1,30,0,7.3,false,false,english,,normal,false,false,false,,1755150886000
689cce704cec7cefb638db87,,71.99,93.07,78.39,83.31,90;2;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1755106928000
689cce5d4cec7cefb638dad8,true,86.39,98.18,86.39,79.67,108;0;0;0,time,15,-1,1,15,0,5.85,false,false,english,,normal,false,false,false,,1755106909000
689cce204cec7cefb638d8be,,74,96.45,76.4,74.92,185;1;0;0,time,30,-1,1,30,0,17.58,false,false,english,,normal,false,false,false,,1755106848000
689ccdde4cec7cefb638d665,,75.19,98.43,75.19,69.52,188;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1755106782000
689ccdbc4cec7cefb638d520,,74.4,96.43,76.4,77.39,186;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1755106748000
689ccd9a4cec7cefb638d3c1,,74,95.54,78.8,70.82,185;3;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1755106714000
